@relation quiz

@attribute question1 numeric
@attribute question2 numeric
@attribute question3 numeric
@attribute question4 numeric
@attribute question5 numeric
@attribute question6 numeric
@attribute question7 numeric
@attribute question8 numeric
@attribute question9 numeric
@attribute question10 numeric
@attribute class {CORVINAL,GRIFINORIA,LUFA-LUFA,SONSERINA}

@data
1,2,1,0,0,2,0,0,2,3,SONSERINA
2,0,3,0,0,2,1,3,0,2,SONSERINA
2,2,3,2,0,1,1,2,1,0,SONSERINA
1,2,2,3,0,2,1,0,3,0,SONSERINA
2,3,3,1,0,1,1,0,3,2,SONSERINA
3,2,0,0,0,0,1,1,3,1,SONSERINA
0,3,1,0,2,1,3,2,0,2,SONSERINA
1,2,2,0,2,2,0,0,1,3,SONSERINA
3,2,3,0,3,2,1,0,2,1,SONSERINA
1,2,1,2,2,0,1,2,0,2,SONSERINA
2,2,2,1,0,0,2,0,0,2,SONSERINA
1,0,3,0,0,1,1,1,1,0,SONSERINA
3,3,3,1,0,0,3,3,0,2,SONSERINA
